userID	firstName	lastName	email	password	phoneNo	dateOfBirth	gender	image	role
1	Deepak	Bhimavarapu	deepakbhimavarapu@msitprogram.net	testcase	phoneNo	4/25/2020 18:39:45	male	DeepakBhimavarapu	mentor
2	Siva	Natukula	sivashankar@msitprogram.net	testcase	phoneNo	4/25/2020 18:39:45	male	SivaNatukula	student
3	Eric	Grimpson	manasa_a@msitprogram.net	testcase	phoneNo	4/25/2020 18:39:45	female	EricGrimpson	student
4	Bob	Sedgewick	murthyvemuri@msitprogram.net	testcase	phoneNo	4/25/2020 18:39:45	male	BobSedgewick	student
5	Edge	Case	somesh.sandeep619@msitprogram.net	testcase	phoneNo	4/25/2020 18:39:45	male	EdgeCase	student
6	Simple	Case	email4@msitprogram.net	testcase	phoneNo	4/25/2020 18:39:45	male	SimpleCase	student
7	Praveen	Garimella	pg@fju.us	testcase	phoneNo	4/25/2020 18:39:45	male	PraveenGarimella	student
8	Lynn	Carter	email5@msitprogram.net	testcase	phoneNo	4/25/2020 18:39:45	male	LynnCarter	student
9	Vipul	Chakravarthy	saivipul15@msitprogram.net 	testcase	phoneNo	4/25/2020 18:39:45	male	VipulChakravarthy	student
10	Rishika	Haritha	rishikaharitha@msitprogram.net 	testcase	phoneNo	4/25/2020 18:39:45	female	RishikaHaritha	student
11	Test	Case	testcase@msitprogram.net	testcase	9876543210	4/19/1922	female	TestCase	admin
